ETC_20150317_000001	Kepa	케파
ETC_20151224_017919	Unknown Diary	
ETC_20151224_017920	Chafer, the owner of the nest is attacking! 	
ETC_20151224_017921	Monsters!	
ETC_20151224_017922	Calm down!	
ETC_20151224_017923	Please wait for your turn!	
ETC_20151224_017924	What is that!	
ETC_20151224_017925	Defeat the Woodspirit that suddenly appeared!	
ETC_20151224_017926	A title given to CBT1 participants.	
ETC_20151224_017927	Strong-willed Adventurer	
ETC_20151224_017928	Obtain 1,500 Gimmick Achievement Points	
ETC_20151224_017929	Experienced Adventurer	
ETC_20151224_017930	Obtain 4,000 Gimmick Achievement Points 	
ETC_20151224_017931	Capable Adventurer	
ETC_20151224_017932	Obtain 9,000 Gimmick Achievement Points 	
ETC_20151224_017933	Resurrected 1,000 times using Soul Crystals	
ETC_20151224_017934	Obtain 50 treasures from treasure chests	
ETC_20151224_017935	Obtain 150 treasures from treasure chests	
ETC_20151224_017936	Obtain 300 treasures from treasure chests	
ETC_20151224_017937	Enter an instanced dungeon 500 times 	
ETC_20151224_017938	Field Gimmick Count	
ETC_20151224_017939	Indun Entrance Count	
ETC_20151224_017940	Blessing	
ETC_20151224_017941	Extract Ptomaine	
ETC_20151224_017942	Ptomaine has been extracted.	
ETC_20151224_017943	The evil spirit has woken up	
ETC_20151224_017944	The evil spirit attached to the monster has woken up.	
ETC_20151224_017945	Incantation Tools' Curse	
ETC_20151224_017946	You took the curse of the Incantation Tools.	
ETC_20151224_017947	Timing	
ETC_20151224_017948	Now.	
ETC_20151224_017949	Monsters have gone crazy and are attacking other monsters	
ETC_20151224_017950	The pearl powders are indicating demons that are higher ranked.	
ETC_20151224_017951	Drop the Old Pocket	
ETC_20151224_017952	Old Pocket	
ETC_20151224_017953	Possess the bomb	
ETC_20151224_017954	Possessing the bomb	
ETC_20151224_017955	Adjust the barrage	
ETC_20151224_017956	Kills monsters on the screen every 0.3 seconds	
ETC_20151224_017957	Monster Annihilator	
ETC_20151224_017958	The pendulum is reacting	
ETC_20151224_017959	The pendulum is reacting to something	
ETC_20151224_017960	Pair Up - Reward	
ETC_20151224_017961	You can receive the Pair Up reward.	
ETC_20151224_017962	Reward Buff - Recovery	
ETC_20151224_017963	HP/SP/STA recovery rate increases	
ETC_20151224_017964	Catacombs Corpse	
ETC_20151224_017965	Reward Buff - Attack	
ETC_20151224_017966	Reward Buff - Defense	
ETC_20151224_017967	Changing	
ETC_20151224_017968	In the state of a transformed monster.	
ETC_20151224_017969	The Old Disc responded	
ETC_20151224_017970	The Old Disc is indicating this monster.	
ETC_20151224_017971	Use the magic circle	
ETC_20151224_017972	Use HP recovery	
ETC_20151224_017973	Use SP recovery	
ETC_20151224_017974	Curse of Agony	
ETC_20151224_017975	You've fell in to the Curse of Agony.	
ETC_20151224_017976	Destroy the protective device	
ETC_20151224_017977	You've destroyed the protective device	
ETC_20151224_017978	Reduce the monster's HP	
ETC_20151224_017979	Reduces the monster's HP and defense	
ETC_20151224_017980	Reward Buff - Attack Rate Increase	
ETC_20151224_017981	Increases attack	
ETC_20151224_017982	Reward Buff - Defense Rate increase	
ETC_20151224_017983	Increases defense and gradually increases stamina	
ETC_20151224_017984	Increases recovery rate	
ETC_20151224_017985	HP Recovery Rate per Second and SP Recovery Rate per Second increase	
ETC_20151224_017986	When you get shot, you deceive an enemy using a log and a counter attack.	
ETC_20151224_017987	SP Absorption	
ETC_20151224_017988	Reduces movement speed by 20%, SP Bloodsucking	
ETC_20151224_017989	Collection: Tenet Church B1	
ETC_20151224_017990	Collection: Tenet Church 1F	
ETC_20151224_017991	Collection: Tenet Church 2F	
ETC_20151224_017992	Number Hi Low	
ETC_20151224_017993	Number Baseball Game	
ETC_20151224_017994	Find the next number	
ETC_20151224_017995	Number Combination	
ETC_20151224_017996	Defense Gimmick	
ETC_20151224_017997	Find the same dice Gimmick	
ETC_20151224_017998	Pair up	
ETC_20151224_017999	Catch the Tail	
ETC_20151224_018000	Magic War	
ETC_20151224_018001	Delivery Recharge	
ETC_20151224_018002	Object checks the monster kill count	
ETC_20151224_018003	Dowsing	
ETC_20151224_018004	Curling	
ETC_20151224_018005	Object checks the number of items	
ETC_20151224_018006	Fireball Soccer	
ETC_20151224_018007	Hit the target	
ETC_20151224_018008	Increased Maximum Members	
ETC_20151224_018009	Increases the maximum amount of members in a guild by 1 per attribute level.	
ETC_20151224_018010	Taming	
ETC_20151224_018011	You can raise a companion.{nl}Increases the amount of companions you can raise by 1 per attribute level.	
ETC_20151224_018012	Farming	
ETC_20151224_018013	You can harvest crops.{nl}Increases the amount of crops you can grow by 3 per attribute level.	
ETC_20151224_018014	Defeat Kirmeleech	
ETC_20151224_018015	Defeat Dullahan	
ETC_20151224_018016	Returning Crisis (Tenet Garden)	
ETC_20151224_018017	Guild Raid Sample	
ETC_20151224_018018	Rampage of Faultiness (Karolis Springs)	
ETC_20151224_018019	A Forgotten Place (Tiltas Valley)	
ETC_20151224_018020	Demons' Revolt {Aqueduct Bridge Area}	
ETC_20151224_018021	Birds' Tomb (Main Chamber)	
ETC_20151224_018022	Test Raid	
ETC_20151224_018023	Able to use Storage	
ETC_20151224_018024	Able to use Guild Attributes	
ETC_20151224_018025	Able to use Guild Events	
ETC_20151224_018026	Outsiders allowed to enter the Guild Hangout	
ETC_20151224_018027	Obtain Attribute Points	
ETC_20151224_018028	{nl} {nl}You can select the controls through the game settings.	
ETC_20151224_018029	{nl} {nl}Swordsman-type classes are able to sprint if you press the same directional key twice.	
ETC_20151224_018030	{nl} {nl}Use {img space 40 40} to control the the mouse.	
ETC_20151224_018031	{nl} {nl}Press {img ctrl 40 40} to lock a target.	
ETC_20151224_018032	{nl} {nl}Press {img Alt 40 40} to immediately stop movement of your character.	
ETC_20151224_018033	{nl} {nl}Places you've never been are not shown on the World Map.	
ETC_20151224_018034	{nl} {nl}You can view the World Map by pressing {img N 40 40}.	
ETC_20151224_018035	{nl} {nl}Hover your mouse cursor on the marked areas,{nl}to view maps which your character has completed so far.	
ETC_20151224_018036	You can make your character stronger by allocating Status Points into STR/CON/INT/SPR/DEX.{nl} {nl} - STR : Increase in Physical Attack, Critical Attack and Maximum Weight{nl} {nl}- CON : Increase in Max HP, HP Recovery, Block, Critical Resistance and Maximum Weight{nl} {nl}- INT : Increase in Magic Attack, HP Recovery of Spells and Potions{nl} {nl}- SPR : Increase in Max SP, SP Recovery, Magic Defense, Block Penetration and Resistance to harmful effects{nl} {nl}- DEX : Increase in Accuracy, Evasion and Critical Rate{nl}	
ETC_20151224_018037	{nl} {nl}The effects of the status that you want to invest in{nl}can be previewed at the bottom of the character{nl}window.	
ETC_20151224_018038	{nl} {nl}Your skill level increases after clicking on the + button.	
ETC_20151224_018039	{nl} {nl}Some attributes can be turned on or off depending on the circumstances.	
ETC_20151224_018040	{nl} {nl}You are able to advance once you've completed your advancement quest.	
ETC_20151224_018041	{nl} {nl}Some classes need to learn a new weapon mastery skill in order to use a specific weapon.	
ETC_20151224_018042	{nl} {nl}The items you can have in your inventory are indicated below.	
ETC_20151224_018043	{nl} {nl}After clicking the Lock button, select an item to lock it. You can do the same for unlocking items.	
ETC_20151224_018044	Using the Lock feature helps you protect your items safely.	
ETC_20151224_018045	{nl} {nl}Click on the Sort button to sort the items in your inventory based on: price, grade, weight and name.	
ETC_20151224_018046	At the bottom of your inventory, the amount of weight, TP and silver can be shown.	
ETC_20151224_018047	{nl} {nl}When you select a quest from the quest list, you can view information of a specific quest in detail.	
ETC_20151224_018048	{nl} {nl}By checking in front of the name of the quest, you can either register or cancel quest instruction window.	
ETC_20151224_018049	On the right side, you can check your ranking from the Adventure Journal and the Team Battle League.	
ETC_20151224_018050	Based on your Adventure Index, you can receive rewards from the Vaivora NPC in the cities.	
ETC_20151224_018051	With Resurrection, you are able to resurrect your character that has become incapable of combat.	
ETC_20151224_018052	There are different options on how to resurrect.{nl} {nl}- Respawn from nearest Revival Point : Revive in the starting location of the map. For dungeons, you will revive outside its entrance.{nl} {nl}- Resurrect using Soul Crystals : Your character will resurrect at the exact location where it became incapable of combat. Using this option, 1 Soul Crystal will be used up from your inventory.	
ETC_20151224_018053	{nl} {nl}When you become incapable of combat in dungeons, the gems you possess from your inventory will be dropped to the ground.	
ETC_20151224_018054	{nl} {nl}When you purchase	
ETC_20151224_018055	Soul Crystal	
ETC_20151224_018056	from the TP Shop in advance, you will be able to resurrect right away to reduce any losses.	
ETC_20151224_018057	{nl} {nl}When you find a character that meets the requirements of a party, press {img mouseclick_right 40 40}{nl}to invite that character to the party.	
ETC_20151224_018058	{nl} {nl}The defense properties have the following resistances.	
ETC_20151224_018059	When you participate in Team Battle League, players can fight against each other.	
ETC_20151224_018060	Periodically, you are able to participate through the sword-shaped icon at the left side of the mini-map or	
ETC_20151224_018061	through your Adventure Journal.	
ETC_20151224_018062	Being standby in Team Battle League allows you to search for an opponent. When a match has been found, the battle will automatically start.	
ETC_20151224_018063	{nl} {nl}When you fail enhancing weapons +5 or higher, the potential will be depleted and the enhancement effect will also be reduced by 1. When the potential falls below 0, the item will be destroyed.	
ETC_20151224_018064	 Materials for gem enhancement are other gems, Monster Gems and gem abrasives.	
ETC_20151224_018065	When extracting gems, its level can reduce by 1 and Monster Gems or gems that are level 1 or below can be destroyed.	
ETC_20151224_018066	{nl} {nl}Monster Gems can be obtained with a certain probability from hunting monsters.	
ETC_20151224_018067	Monster Gems have an effect of increasing certain skill levels when they are equipped onto equipment.	
ETC_20151224_018068	However, Monster Gems cannot be enhanced and it may get destroyed when trying to extract it, so be careful.	
ETC_20151224_018069	{nl} {nl}The effects of subweapons will be exerted when you use subweapons with special features.	
ETC_20151224_018070	Market	
ETC_20151224_018071	Items that you've obtained during your adventure can be sold through the Market.	
ETC_20151224_018072	Speak with the Market Manager NPC in the cities to use the Market. It acts as a means for players to trade each other.	
ETC_20151224_018073	From the Buy tab,	
ETC_20151224_018074	you are able view the items from other players.	
ETC_20151224_018075	After checking the quantity of the item you want, you can purchase the item by clicking the Check button.	
ETC_20151224_018076	From the Sell tab,	
ETC_20151224_018077	you will be able to register the items that you want to sell.	
ETC_20151224_018078	After selecting a quantity and a price, you can register an item for sale after choosing a specified sales period.	
ETC_20151224_018079	{nl} {nl}Depending on the sales period, you'll have to pay a certain amount of commission fee.	
ETC_20151224_018080	From the Retrieve tab,	
ETC_20151224_018081	you are able to retrieve the items you've purchased.	
ETC_20151224_018082	Warp Scrolls can be purchased from the TP Shop and enables you to warp without a Goddess Statue nearby you.	
ETC_20151224_018083	However, you can only warp to areas where you've activated the Goddess Statue.	
ETC_20151224_018084	{nl} {nl}When you use a Warp Scroll again, you are able to return to the area where you've used your latest warp point.	
ETC_20151224_018085	Warp Scrolls can be also purchased from the TP Shop with TP.	
ETC_20151224_018086	{nl} {nl}They are in	
ETC_20151224_018087	Orsha.	
ETC_20151224_018088	{nl} {nl}You can register a deck through the Magic Association NPC in the cities.	
ETC_20151224_018089	{nl} {nl}After paying a certain amount of fee, you can finally adopt that adorable companion.	
ETC_20151224_018090	{nl} {nl}You can view the information of your companion by pressing {img F9 40 40}.	
ETC_20151224_018091	{nl} {nl}A companion's Stamina can be recovered by feeding it special food.{nl} {nl}When you feed your companion, it will recover its HP and Stamina by a certain amount.	
ETC_20151224_018092	{nl} {nl}You can train your companion to become stronger through special training.	
ETC_20151224_018093	{nl} {nl}Gems can be obtained through hunting in dungeons.	
ETC_20151224_018094	When your character becomes incapable of combat in dungeons, you may lose gems, so be careful!	
ETC_20151224_018095	When your character has become incapable of combat	
ETC_20151224_018096	{nl} {nl}A Lv1 treasure chest can be opened with {img SPACE 40 40} {nl} without any prequisites.	
ETC_20151224_018097	You can interact with other players through different social features.	
ETC_20151224_018098	[Friends]{nl}View your friends list by pressing {img F7 40 40}.{nl}Don't be shy and make some friends{nl}in Tree of Savior.	
ETC_20151224_018099	{nl} {nl}Players who've become friends will be able to{nl}check each other's log-in status and their{nl}in-game locations.	
ETC_20151224_018100	{nl} {nl}[Friendly Duel] After pressing {img mouseclick_right 40 40}, request another player for	
ETC_20151224_018101	a Friendly Duel	
ETC_20151224_018102	a Friendly Duel	
ETC_20151224_018103	{nl} {nl}When the other player accepts the request,{nl}a Friendly Duel will start and you will be able{nl}to attack each other	
ETC_20151224_018104	{nl} {nl} When you press {img mouseclick_right 40 40} the magic amulet and press {img mouseclick_left 40 40} on the equipment, the magic amulet will be attached onto your equipment.	
ETC_20151224_018105	{nl} {nl}The attached magic amulet can be viewed from the tooltip of the item.	
ETC_20151224_018106	{nl} {nl}You can see your magic amulet swaying around on your character when you equip an item with a magic amulet attached to it.	
ETC_20151224_018107	{nl} {nl}When both sides completed selecting their cards, the cards will be unveiled and the win conditions will be decided using the roulette.	
ETC_20151224_018108	The win conditions are as follow: number of legs, height, weight and the number of stars.	
ETC_20151224_018109	{nl} {nl}When the conditions are decided, the win/loss will be revealed based on the information on the cards that were presented.	
ETC_20151224_018110	With the cards obtained like this, you are able to use them as materials to enhance other cards and increase the number of stars.	
ETC_20151224_018111	You can change the settings of your team in the Lodge.	
ETC_20151224_018112	When you select Change Lodge, a list of Lodges will appear. You are able to preview Lodges by clicking on them.	
ETC_20151224_018113	You can create up to 5 characters with the basic Lodge, but when you exceed the maximum amount of characters, you can purchase a character slot with TP.	
ETC_20151224_018114	{nl} {nl}There is a Messages Box at the lower right side of your Lodge. You can check messages by selecting it.	
ETC_20151224_018115	{nl} {nl}With {img mouseclick_right 40 40}, you can visit the Lodge of other users from the game.	
ETC_20151224_018116	A Centurion gathers characters together that come within its formation to control them.{nl} {nl}A Centurion will be able to control the characters until they go out of the formation, and characters can always step out of the formation if they want to. 	
ETC_20151224_018117	You can go on missions with your party members through the Mercenary Post in Fedimian.	
ETC_20151224_018118	is located on the left of the merchant.	
ETC_20151224_018119	The Mercenary Post is only available for those who are in a party. Let's go to the Mercenary Post with a party.	
ETC_20151224_018120	{nl} {nl}through Receptionist Liam	
ETC_20151224_018121	Can process.	
ETC_20151224_018122	Only the party leader can accept the party quest. The receptionist Liam recommends the quests based on the party members' progress of the party quest.	
ETC_20151224_018123	You can process the daily quests of each area through the receptionist Ramda	
ETC_20151224_018124	Cannot process.	
ETC_20151224_018125	There are limited number of times for performing.	
ETC_20151224_018126	Storage	
ETC_20151224_018127	You can keep your unused or valuable items{nl}in the storage.	
ETC_20151224_018128	You can use the storage from the NPC in the city.	
ETC_20151224_018129	{nl} {nl}When you take items from the storage, 20 silver will be consumed.	
ETC_20151224_018130	{nl} {nl}Below	
ETC_20151224_018131	Sort	
ETC_20151224_018132	You can sort items in the storage in order of: price, rank, weight and name by pressing the button.	
ETC_20151224_018133	{nl} {nl}You can expand your storage with TP by pressing the button below.	
ETC_20151224_018134	TP Shop	
ETC_20151224_018135	You can buy special items from the TP Shop.	
ETC_20151224_018136	The TP Shop can be used through NPC Leticia who is present in any city.	
ETC_20151224_018137	A variety of items are ready for sale, let's meet{nl}with Leticia.	
ETC_20151224_018138	How to make a bonfire	
ETC_20151224_018139	The firewood is scattered in Lemprasa Pond.	
ETC_20151224_018140	You can make a bonfire using {img SPACE 40 40} in front of the firewood.	
ETC_20151224_018141	If you are granted with the effects of a Token, you are able to trade items with other players who also have the same effects of a Token.	
ETC_20151224_018142	[Trade] You can use the trade feature to select the trade after doing {img mouseclick_right 40 40} to the character for the trade.	
ETC_20151224_018143	You can register items in the trade list by dragging the tradable items from your inventory.	
ETC_20151224_018144	{nl} {nl}If you are granted with the effects of a Token, you can open a [Buy-in Shop]	
ETC_20151224_018145	in towns and cities.	
ETC_20151224_018146	Buy-in Shop	
ETC_20151224_018147	You can open the shop through the Character Settings tab by pressing {img F1 40 40}.	
ETC_20151224_018148	{nl} {nl}After setting the shop name and the price per unit of the items you want, press the triangular button to confirm.	
ETC_20151224_018149	If the registration for the wanted items is completed, you can open the Buy-in Shop using the button below.	
ETC_20151224_018150	{nl} {nl}Other players are able to sell their items through the opened the Buy-in Shop.	
ETC_20151224_018151	A player who has their Buy-in Shop open cannot move, however, the shop stays open if you logout.	
ETC_20151224_018152	If you clear the seat, you can check the trade information using the trade history. If you don't want to trade, close the below	
ETC_20151224_018153	Close	
ETC_20151224_018154	 Close the User Buy-in Shop to press the button.	
ETC_20151224_018155	You receive various effects from using a Token.	
ETC_20151224_018156	You can buy a Token through NPC Leticia.	
ETC_20151224_018157	When using a Token, you will receive the effects below to all your characters in the server for 30 days.	
ETC_20151224_018158	After using a Token, you can easily check the benefits.	
ETC_20151224_018159	Only the Templar class is able to create a guild.	
ETC_20151224_018160	A Templar character is able to create a guild by paying a fee to Knight Commander Uska.	
ETC_20151224_018161	You can invite characters to the guild by pressing {img mouseclick_right 40 40} on a character.	
ETC_20151224_018162	The guild master is able to build a Guild Tower in a field.	
ETC_20151224_018163	The features of a Guild Tower can be diversified depending on the Templar's Guild Tower skill.	
ETC_20151224_018164	Guild members are able to use the various features such as Warp or Storage from the Guild Tower.	
ETC_20151224_018165	{nl} {nl}by obtaining in guild events	
ETC_20151224_018166	You can upgrade the level of a guild by donating to the Guild Tower.	
ETC_20151224_018167	When a guild level is increased, you will obtain points. Using points, you can upgrade the guild attributes of the guild.	
ETC_20151224_018168	The Guild Hangout becomes available when the level of your Guild Tower is high enough.	
ETC_20151224_018169	The Guild Hangout becomes available when the skill level of the guild master's Guild Tower is high enough.	
ETC_20151224_018170	In the Guild Hangout, you are able to harvest crops.	
ETC_20151224_018171	Or you can parcel the baby companion by keeping the baby.	
ETC_20151224_018172	Crops and companions can be obtained through various guild events.	
ETC_20151224_018173	Guild members are able to participate in guild events.	
ETC_20151224_018174	The guild master is able to select a guild event from the Guild Tower.	
ETC_20151224_018175	Available guild events such as boss raids and guild competition events will be prepared.	
ETC_20151224_018176	{nl} {nl}Upgrade the guild using guild events	
ETC_20151224_018177	You can obtain companions and crops through the Guild Hangout.	
ETC_20151224_018178	Guilds are able to fight with each other through a war.	
ETC_20151224_018179	A guild can declare war against another guild.	
ETC_20151224_018180	The guild that is at war can destroy the enemy's Guild Tower and face their enemies in fields. (PvP)	
ETC_20151224_018181	Sorcerer - Grimoire	
ETC_20151224_018182	A Sorcerer is a wizard who summons devils.	
ETC_20151224_018183	When you advance to a Sorcerer, a button will be displayed	
ETC_20151224_018184	on the bottom right side of your screen.	
ETC_20151224_018185	Only Devil-type cards can be registered onto the Grimoire, and you can select between main and secondary cards.	
ETC_20151224_018186	{nl} {nl}Depending on the cards that are registered on Grimoire, the stats of the devils will be changed.	
ETC_20151224_018187	Necromancer - Necronomicon	
ETC_20151224_018188	Necromancer is a class that utilizes magic involving the dead by using corpses.	
ETC_20151224_018189	When you advance to a Necromancer, at the bottom right side of your screen	
ETC_20151224_018190	Only Animal, Plant and Mutant-type cards can be registered onto the Necronomicon with a maximum of four cards.{nl}At the bottom of the Necronomicon, you can view the number of fragments that you've collected so far.	
ETC_20151224_018191	{nl} {nl}The stats of the summoned Shoggoth will change depending on the cards that are registered onto the Necronomicon.	
ETC_20151224_018192	Wugushi - Poison Pot	
ETC_20151224_018193	A Wugushi is an archer that specializes in using poison.	
ETC_20151224_018194	When you advance to a Wugushi, the Poison Pot located at the bottom right side of your screen,	
ETC_20151224_018195	You are able to craft poison and use them with your skills as a Wugushi.{nl}The ingredients of the poison can be: Poison Liquid or the loot from Insect-type monsters. 	
ETC_20151224_018196	{nl} {nl}Poison Liquid can be purchased from the Wugushi Master or Wugushi Submaster.	
ETC_20151224_018197	Cannot find a GUID of the item in the inven.	
ETC_20151224_018198	Cannot load the barrack PC. Check the information.	
ETC_20151224_018199	Failed to initialize the Nexon NGS.	
ETC_20151224_018200	Received the unidentified packet. Did you receive the zone packet from barrack or the barrack from the normal mode.	
ETC_20151224_018201	Map location creation error due to the pathengine	
ETC_20151224_018202	Failed to create the client manager. End the connection with the IP.	
ETC_20151224_018203	The wrong type of connection has been tried.	
ETC_20151224_018204	Failed to communicate with gem school and login server. Check the error information.	
ETC_20151224_018205	Failed to initialize the session information and nexon session server. It's an unidentified sync type.	
ETC_20151224_018206	Failed to get the vaild coordination in the MaxLoopCount.	
ETC_20151224_018207	There are so many DB values.	
ETC_20151224_018208	The party name has already exist.	
ETC_20151224_018209	Faield to the type conversion	
ETC_20151224_018210	Failed to perform the transaction	
ETC_20151224_018211	Happened std::exception	
ETC_20151224_018212	Medal needs to be recharged, but the recharge time has not been set yet. Setting back to 2 hours later.	
ETC_20151224_018213	!!ClassKey Duplication!!	
ETC_20151224_018214	Failed to create the IES Object.	
ETC_20151224_018215	Failed to add the gem property. Check the item information of the socket_property.xml.	
ETC_20151224_018216	There are some translation data that must be translated. Check the DicID of it.	
ETC_20151224_018217	Failed to receive the revision information of client from the CDN. Check the address.	
ETC_20151224_018218	Failed to initialize the field boss information. Check the fieldbossrandom.xml.	
ETC_20151224_018219	Tried to pass the wrong option data to operation tools. Check the data.	
ETC_20151224_018220	Not exist Node.	
ETC_20151224_018221	The height value is too high, even it's a knockback type. Change it to 10.	
ETC_20151224_018222	Cannot find the motion.	
ETC_20151224_018223	The video cannot be played.	
ETC_20151224_018224	It is trying to save with the same value.	
ETC_20151224_018225	Not exist option name. Check the config.xml and whether config.xml is same to server and client or not.	
ETC_20151224_018226	Packet Size Over	
ETC_20151224_018227	It's a wrong shortcut script. Check the script whether it is enroll to hotkeyscp.xml or not.	
ETC_20151224_018228	The value of a GiveWay or TakeWay are None.	
ETC_20151224_018229	Failed to World::Enter(). There are no sectors to match with the coordinate.	
ETC_20151224_018230	Failed to World::Enter(). Check the coordinate is valid.	
ETC_20151224_018231	Faield to bring the object. Check the line of the CallStack.	
ETC_20151224_018232	Failed to connect the barrack server. Check the server whether the information is correct or open.	
ETC_20151224_018233	Failed to communicate with HTTP. Check the printed information.	
ETC_20151224_018234	Failed to initialize the Nexon Session Server. Check the printed information.	
ETC_20151224_018235	Failed to initialize the Nexon Session Server. Check the error types. (1 : Duplication, 2:Unlisted number, 99: unknown error)	
ETC_20151224_018236	Failed to initialize the GM server. Check the information related to the world table.	
ETC_20151224_018237	The commander is already processing, but it is trying another one.	
ETC_20151224_018238	Failed to initialize the Nexon Session Server. The value of SN and world table's SN is different from each other.	
ETC_20151224_018239	Failed to save log at MongoLog Failover.	
ETC_20151224_018240	Memory Debug Information	
ETC_20151224_018241	File list and size loaded by client,when perceive the changed IPF	
ETC_20151224_018242	Resources Load Information	
ETC_20151224_018243	Show CallStack	
ETC_20151224_018244	NGS Debuging Log	
ETC_20151224_018245	Premium	
ETC_20151224_018246	A gem that can be found in a dungeon. It is able to enhance equipment by equipping it in a socket. Cannot be used with same effect simultaneously. Right-click to insert it to an equipment.	
ETC_20151224_018247	Colimen Magician Gem	
ETC_20151224_018248	Grants Token benefits to all your characters in the server for 1 day. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the Internet Cafe benefits & EXP Tome effect){nl} - Able to use Premium Gestures	
ETC_20151224_018249	Token: 5 Minutes	
ETC_20151224_018250	Token: 10 Minutes	
ETC_20151224_018251	Token: 30 Minutes	
ETC_20151224_018252	Token: 1 Hour	
ETC_20151224_018253	Using this Soul Crystal will resurrect you in the same position you died.	
ETC_20151224_018254	Use to obtain 30 TP.{nl}This item cannot be refunded or returned after use.	
ETC_20151224_018255	Use to obtain 100 TP.{nl}This item cannot be refunded or returned after use.	
ETC_20151224_018256	Use to obtain 200 TP.{nl}This item cannot be refunded or returned after use.	
ETC_20151224_018257	Use to obtain 300 TP.{nl}This item cannot be refunded or returned after use.	
ETC_20151224_018258	Token: 7 Days [Event]	
ETC_20151224_018259	Grants Token benefits to all your characters in the server for 7 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the Internet Cafe benefits & EXP Tome effect){nl} - Able to use Premium Gestures	
ETC_20151224_018260	Premium Awakening Stone	
ETC_20151224_018261	Megaphone 50x Box	
ETC_20151224_018262	Contains 50 Megaphones when you open it. Right-click to use.	
ETC_20151224_018263	Applies various effects to your character for 1 hour. Right-click to use.{nl} - Consumes time when you are connected to the game.{nl}[EXP Tome Effect]{nl} - +30% EXP from hunting monsters{nl} - Doubled STA recovery rate	
ETC_20151224_018264	Soul Crystal 10x Box	
ETC_20151224_018265	Contains 10 Soul Crystals when you open it. Right-click to use.	
ETC_20151224_018266	Warp Scroll 10x Box	
ETC_20151224_018267	Contains 10 Warp Scrolls when you open it. Right-click to use.	
ETC_20151224_018268	Token: 5 Days [Event]	
ETC_20151224_018269	Grants Token benefits to all your characters in the server for 5 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the Internet Cafe benefits & EXP Tome effect){nl} - Able to use Premium Gestures	
ETC_20151224_018270	Premium Package A	
ETC_20151224_018271	Contains premium goodies. Right-click to use.{nl} - 600 TP (Untradable){nl} - Highly Enriched HP Potion 150x (Untradable){nl} - Highly Enriched SP Potion 150x (Untradable){nl} - Warp Scroll 10x Box 3x (Untradable){nl} - Megaphone 50x Box (Untradable){nl} - Hair Accessory: War Bonnet	
ETC_20151224_018272	Premium Package B	
ETC_20151224_018273	Contains premium goodies. Right-click to use.{nl} - 1300 TP (Untradable){nl} - Highly Enriched HP Potion 150x (Untradable){nl} - Highly Enriched SP Potion 150x (Untradable){nl} - Warp Scroll 10x Box 3x (Untradable){nl} - Megaphone 50x Box (Untradable){nl} - Hair Accessory: Cornus Helmet	
ETC_20151224_018274	Use to obtain 600 TP.{nl}This item cannot be refunded or returned after use.	
ETC_20151224_018275	Use to obtain 1300 TP.{nl}This item cannot be refunded or returned after use.	
ETC_20151224_018276	Token: 1 Day [Event]	
ETC_20151224_018277	Grants Token benefits to all your characters in the server for 1 day. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the Internet Cafe benefits & EXP Tome effect){nl} - Able to use Premium Gestures	
ETC_20151224_018278	Token: 3 Hours [Event]	
ETC_20151224_018279	Grants Token benefits to all your characters in the server for 3 hours. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the Internet Cafe benefits & EXP Tome effect){nl} - Able to use Premium Gestures	
ETC_20151224_018280	Token: 6 Hours [Event]	
ETC_20151224_018281	Grants Token benefits to all your characters in the server for 6 hours. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the Internet Cafe benefits & EXP Tome effect){nl} - Able to use Premium Gestures	
ETC_20151224_018282	Token: 12 Hours [Event]	
