QUEST_20150317_000001	Pilih Quest yang akan dimodifikasi.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20171128_006992	The Beholder thinks Tesla has no Revelation. But Lydia Schaffen is different. This woman is different, I'm telling you.]{nl}Solcomm interceded before Gesti's explanation could get any longer.{nl}[She is different, indeed. She defeated six demon lords in the past 27 years. Completely unheard of for a human. And her arrows! There's not a demon's heart that- ahem, I apologize.]	
QUEST_20171128_006993	His words were momentarily cut off by Gesti's piercing look, but soon he continued.{nl}[What I mean is that other humans have absolute faith in her arrows.]{nl}[Yes, they have every reason to. That's the problem.]	
QUEST_20171128_006994	Gesti's incredibly rare compliment to a human's power astonished Solcomm. He took the chance to add, [I'm not sure if you're aware, but there is an even greater problem. All the demons she is known for defeating were victims of ingenious tricks. Schaffen is as intelligent as she is talented, and she is extremely resourceful.]{nl}[That's why I called you here. Giltine thinks you're clever enough not to fall for a trap.]	
QUEST_20171128_006995	[What do you mean?]{nl}[Lately that idiot Ziburynas thought he could beat brain with brawn and went after Lydia. Ended up crossed by an arrow. Apparently she even got hold of an essence with his magic in it. That's the rumor we heard from his Pawndel minions; the other lords don't know about it yet. He wasn't even assigned to her, who knows why he went and got himself killed for nothing.]	
QUEST_20171128_006996	[I'm sorry to hear that.]{nl}[If she kills you too, we'll have no one left to go to for this.]{nl}[Pardon? I- What is that you mean by...?]{nl}[It's your job now to get the Revelation from Lydia Schaffen. Your mission is in a place the humans call the Star something Lake. She is busy there building some kind of tower.]{nl}Solcomm knew this was not an order he was allowed to refuse, and so he signaled to Gesti his obedience. With that began the history of his legendary defeat.	
QUEST_20171128_006997	Record of Solcomm's Attacks on the Astral Tower 1	
QUEST_20171128_006998	If the tower is completed, attacking by force is useless, Solcomm thought.{nl}The cold brawl between him and Schaffenstar was beginning to warm up again. It all started when Solcomm was in the process of gathering his demon henchmen. Mobilizing a large group of demons in the human realm was no easy task, especially when it involved staying under the radar of the goddesses.	
QUEST_20171128_006999	Perhaps fortunately for him, many were the demons Lydia Schaffen had encountered and killed throughout her life, including several high-ranked demon lords. This was a convenient pretext for Solcomm's side to launch a revenge war without over-worrying about their agreement with the goddesses.	
QUEST_20171128_007000	Whether it was in true combat, or whether Schaffen killed those demons in self-defense did not matter. The truth remained that they needed to move a whole army of demons. To make matters worse, there was always the chance of an extended war with Lydia and her Schaffenstar organization, which would require constant supply of demon soldiers and trusted officials to command them.{nl}Assembling demon subordinates was an arduous task, even for a demon lord. Hauberk was right when he touted over and over again that demons needed better systematization of their orders. No demon should be without association, he had said.	
QUEST_20171128_007001	Unfortunately, being thorough was not in their nature. Orders were given by whichever high-rank official was nearest, so subordinates simply fell under the control of whomever they preferred. The Creator had provided them and the goddesses with enough freedom. It simply happened that the idea of systematization did not conform with their principles. More importantly, when the power of every demon was needed, they had Giltine.	
QUEST_20171128_007002	For better or for worse, demons of all degrees answered to Giltine, although the situation did not call for her to mobilize the entire demon forces. They still saw systematization as ineffective and cumbersome, despite some, like Hauberk, believing otherwise.{nl}It took Solcomm longer than expected to gather demons for combat and sufficient minions to serve them. When he finally arrived at Starlit Lake, he saw in all its glory the Astral Tower, now fully complete and operational.	
QUEST_20171128_007003	Record of Solcomm's Attacks on the Astral Tower 2	
QUEST_20171128_007004	It was the day of his first attack. He sighted a few Shaffenstar members scraping the bottom of the lake with rakes and other instruments, and he gave his subordinates orders to charge.{nl}The first demon hadn't yet reached the side of the lake when they heard the alarm sound inside the Astral Tower. Given its enormous height, it became clear that a surprise attack was all but impossible. Perhaps they would have been more successful on a foggy day, although fog was rarely an occurrence near that lake. It was said to be one of the reasons Lydia Schaffen had chosen it in the first place.	
QUEST_20171128_007005	The Shaffenstar members working around the lake had heard the alarm and were preparing to abandon the location. As the lake was only ankle-deep, from far away it looked as if the people were walking on the water. Steady but collected, they hurried back inside the tower.{nl}The alarm had come too fast for the demons to attempt an attack on the returning members. Solcomm did not release any more orders to his men, but as the first demons made contact with the lake, something unexpected happened.	
QUEST_20171128_007006	Some demons were instantly scorched, some melted, yet others turned to stone: it was as if the lake was toxic, provoking all kinds of gruesome reactions on their bodies.{nl}Solcomm muttered under his breath. They had no way to know what was in that water until then.{nl}The entire lake could be seen and surveilled from the Astral Tower. There was even a large telescope at the top.	
QUEST_20171128_007007	Any recon operation, even in a small team, seemed impossible. Attempting one was accepting the almost sure chance of being discovered. There would be no turning back.	
QUEST_20171128_007008	Solcomm dismissed his head officer and gave his subordinates orders to retrieve a sample of lake water before retreating entirely. He had chosen to remain optimistic about his efforts.	
QUEST_20171128_007009	Record of Solcomm's Attacks on the Astral Tower 3	
QUEST_20171128_007010	Investigating the lake water was futile. Perhaps they could have found a solution for a simpler kind of holy water, but this substance was much more complex. It had been created with not only magic, but alchemistic and theological knowledge far too advanced to decipher in such a short time.	
QUEST_20171128_007011	Observing the sacrifice of the first demons to come in contact with the lake taught them that it was part holy water, modified to react to demons and nothing else. They would have attempted to destroy the main devices powering the water's reaction, but getting to them involved passing through the lake's dangerous waters. Even without the interference of Schaffenstar's members, there was no way around it.	
QUEST_20171128_007012	 Solcomm certainly had his talented subordinates, but all Schaffenstar members were expert marksmen. Each demon would have been crossed by ten different arrows before they could even reach the lake's devices. Sure enough, even their most agile flying demons could not escape the tower's large ballista.	
QUEST_20171128_007013	 Next, he attempted an attack by ship. Despite its shallow appearance, the Starlit Lake hid in it an abyss of unknown depth. The Astral Tower had been magically built hovering above this abyss, with the path leading to the tower also constructed through magic means. The area containing the tower and its path had been built on floating magic stones, while the rest remained a normal lake. Solcomm's plan, then, was to attack the tower from the magic-free zones surrounding it.	
QUEST_20171128_007014	Unfortunately, obtaining the ships he needed wasn't as easy as planned. Even with Pbeta in charge of gathering ships and volunteers to sail them, their numbers fell short, so Solcomm resorted to secretly contacting Premier Eminent for help. Eminent had been gathering tremendous wealth in the human realm and was able to support their endeavour. Thus the demons could finally set sail on the Starlit Lake.	
QUEST_20171128_007015	Sailing aboard the ships, the demons avoided contact with the water. They sailed for a few moments without signs of the enemy. The lake did not seem protected by any naval forces. Upon reaching a certain point in the lake, a downpour of arrows suddenly began to fall onto the demons' ships, piercing holes and splashing the lake's harmful water on their bodies. Unable to save the ships, the demons were helpless as water continued to infiltrate through the holes.	
QUEST_20171128_007016	The attack was not unforeseen, however. Solcomm had expected the occupants of the tower to fire their arsenal at his men; it was their most obvious means for defense.	
QUEST_20171128_007017	Solcomm's goal was to determine whether his enemies on the lake in Astral Tower had other means of defense besides projectile weapons.{nl}After much sacrifice and enduring countless arrows and weapons fired by the Schaffenstar members, he managed to approach the tower. Convinced that he now understood every means of defense at the tower's disposal, Solcomm retreated his army.	
QUEST_20171128_007018	Even his flying monsters, which are normally capable of attacking rooftops and flying over the lake, were useless. However, Solcomm's attempt to approach the tower was not in vain.{nl}Now that he was assured that Astral Tower only protected itself with projectile weapons, he came up with a plan.	
QUEST_20171128_007019	Record of Solcomm's Attacks on the Astral Tower 4	
QUEST_20171128_007020	The area containing Astral Tower and the lake was later designated as under Schaffenstar's jurisdiction, but the people have been living there before that.{nl}Rather than the immediate area surrounding the tower, where battles could happen at any moment, people lived above the lake, which was fairly distant from the tower.{nl}Some parts of the village were built above magical levitation stones, which were placed by Schaffenstar, and other parts were built above boats and wooden structures.	
QUEST_20171128_007021	These people were Solcomm's next target. He was certain that Schaffenstar would never let these people suffer. Based on recent battles, Solcomm figured that most ranged weapons in Astral Tower could not reach the lake village, and even if some magic attack reached the area, its effects would be greatly reduced. 	
QUEST_20171128_007022	After some sieges and scouting attempts, Solcomm learned this: Astral Tower is equipped with weapons that can strike down enemy ships. In order to make such defense possible, the lake was carefully divided into areas that have magical levitation stones to allow passage, as well as areas that were empty.{nl}Due to this, attacking the tower with ships was close to suicidal. It didn't matter whether the ships were filled with demons or humans. The ships would be destroyed.	
QUEST_20171128_007023	To Solcomm's surprise, no one seemed to know how deep the lake was. If any of the demons were to touch its water, they would melt and burn like acid.{nl}Solcomm previously sent his beast monsters and captured humans to scout underwater, but none returned. Finally, Solcomm decided to dive under the lake himself.	
QUEST_20171128_007024	However, even after swimming downward for five hours, he had to return without seeing the lake's bottom.{nl}The further he plunged, he encountered stranger and more aggressive creatures.{nl}When the armor he was wearing was punctured, the lake's water, which was fatal to demons, came pouring in. Solcomm almost died before coming ashore, and he had to give up scouting underwater. 	
QUEST_20171128_007025	It is a surprise that fishermen living above the lake paid taxes to Schaffenstar, the governing body of Astral Tower, and received protection in return.{nl}Although it wasn't designated as such by the king yet, Lydia Schaffen and her Schaffenstar were basically the rulers of the lake.{nl}The people living above and around the lake were proud of serving Lydia Schaffen, a legendary hero, and the Schaffenstar members were fair and just in their ruling. Other than some big cities, no place was safer than this lake.	
QUEST_20171128_007026	Whenever there were monsters near the area, the Schaffenstar members were immediately deployed to shoot them down.{nl}However, with a large demon army such as Solcomm's, things went a bit differently.{nl}Without full-on battles outside the tower, the area's villagers couldn't be protected.{nl}Also, even if the Schaffenstar members were all elite marksmen, fighting in the open is nothing like firing arrows from an impregnable tower.	
QUEST_20171128_007027	Generally speaking, archers need either distance or height to gain a combat advantage. Otherwise, they become easy targets for enemy infantry and cavalry. Solcomm knew that even the famous Schaffenstar wouldn't be able to overcome these limits.	
QUEST_20171128_007028	The problem was luring them out. Solcomm's plan was to attack the lake village to force Schaffenstar to come out of their tower.{nl}Right after Solcomm began his attacks, the entrance to the village was shut tight.{nl}Although it wasn't much, it was enough to make it very inconvenient for demons to approach though the lake's fatal water.{nl}However, tearing down its wooden barriers would be a simple task with enough ships.{nl}Solcomm was certain that Schaffenstar would have to come out if that happened.	
QUEST_20171128_007029	However, it never happened.{nl}In fact, there was no need.	
QUEST_20171128_007030	Tornadoes suddenly appeared.{nl}It was merely a lake, but the tornados' scale was overwhelmingly huge.{nl}Solcomm couldn't help but stare at it.	
QUEST_20171128_007031	Although the lake was considerable large, and tornadoes can occur on land, the occurrence itself was quite baffling.{nl}When tornadoes appear precisely above attacking ships, this doesn't happen by chance.{nl}Frankly, these tornadoes were so precise in their positioning, that they kept circling the village.{nl}Whenever these tornadoes barely touched Solcomm's ships, they were overturned, throwing helpless demons into the lake in the process.{nl}Although some ships managed to avoid these tornadoes, the lake's fatal water was sprayed all over the ships.	
QUEST_20171128_007032	This didn't happen when the demons were attacking the tower itself.{nl}It could be deduced that Schaffenstar wasn't trying to hide their capability of summoning tornadoes, but rather, built villages in places where tornadoes could be summoned in the first place.{nl}Sadly, for Solcomm, this deduction was correct.{nl}Solcomm had to retreat without getting to see a single arrow, let alone Schaffenstar members.	
QUEST_20171128_007033	Record of Solcomm's Attacks on the Astral Tower 5	
QUEST_20171128_007034	His next plan was to hire human mercenaries.{nl}Strategically, it was much better to create an army containing both demons and human mercenaries, but even the greediest mercenaries weren't too keen on fighting alongside demons.{nl}Solcomm even had to disguise himself as a human to get them to sign the contracts in the first place.	
QUEST_20171128_007035	Even then, most mercenaries, who were initially interested in offered payment, refused to attack peaceful villagers.{nl}Even the crazier ones who were willing to attack the innocent would look at Solcomm in disbelief after learning that Lydia Schaffen will be their foe.	
QUEST_20171128_007036	Furthermore, one of the mercenaries reported to the royal officers of these recruiting efforts, causing government officials to start searching for suspicious people looking to hire mercenaries.{nl}This prevented any mercenaries from joining Solcomm.	
QUEST_20171128_007037	To make matters worse, Pbeta, who has been supporting Solcomm by traveling between the demonic world and the human world, reported Solcomm's mistakes to Demon Queen Gesti, causing him to be summoned and scolded. After this incident was spread within the underworld, other demon lords and queens started to look down upon Solcomm, causing his position in the underworld to fall even further.	
QUEST_20171128_007038	Although Solcomm gave a warning to Pbeta for her reports, doing so was her job, so he couldn't just blame everything on her.{nl}At least, it was a relief to him that Lydia Schaffen and her Schaffenstar haven't warned others of the attack, let alone ask for reinforcements. However, this was likely due to Schaffenstar's pride and their level of preparation for the attack.	
QUEST_20171128_007039	Solcomm did not know this at the time, but Lydia Schaffen didn't ask for help because the tower must be prepared to withstand attacks without any support from the royal army or militia for centuries to come.{nl}She was very much aware that someone like King Kadumel could rise to power at any moment to unite the demons with humans. Kings like Kadumel will undoubtedly try to seize the secrets contained in Astral tower, and the tower must be able to stand tall when that happens.{nl}Sadly, Solcomm was destined to slowly learn this over the next couple of centuries.	
QUEST_20171128_007040	Record of Solcomm's Attacks on the Astral Tower 6	
QUEST_20171128_007041	If we were to use force, we should have done it before the tower was complete, was Solcomm's conclusion. Even so, Solcomm had no other choice but to resort to an all-out attack. He couldn't just ignore the criticisms from his superiors, so he had to push on. Also, he had to try at least once.	
QUEST_20171128_007042	While being very much aware that Schaffenstar will not lower their defenses, Solcomm kept his force from making hasty attacks, and gathered even more demons by pushing Pbeta.{nl}After Solcomm's failures were spread in the demonic world, Pbeta's job of recruiting demons became much more difficult, and she made sure to let Solcomm know of her difficulties.{nl}However, Solcomm was ready to push himself to  the end for the last time.	
QUEST_20171128_007043	For more than six months, Solcomm prepared for his all-out attack. He didn't have enough flying demons, nor enough ships, but he had to make do by approaching the tower through the lake. 	
QUEST_20171128_007044	The magical levitation stones were floating in a way that shallow water still flowed over them. It was too shallow for boats, and still too deep for demons to cross.{nl}Lydia Schaffen made sure these stones were floating at the exact heights to make this possible. This also made Schaffenstar members' shoes wet all the time, but for demons, it was a deadly threat.	
QUEST_20171128_007045	When there weren't any battles or training during the day, Schaffenstar's recruits removed moss and water plants from the stones with rakes.{nl}After that, they carefully walked to the edge and tossed the plants in the lake.{nl}These tossed plants eventually became food for creatures living in the lake, leading countless creatures to be gathered around the floating stones.	
QUEST_20171128_007046	Schaffenstar recruits were strictly trained and taught where the edges were, and where it was safe to walk, because there was no end to the lake's depth.{nl}Their daily routine of removing plants was also helpful in drilling this information into their minds. Of course, seniors were always nearby to make sure absolutely no recruits accidently fell in the lake.	
QUEST_20171128_007047	Such accidents were much more fatal than one would think.{nl}As mentioned before, creatures were always gathered around the edges of these stones.{nl}These creatures may seem harmless from above, but if someone were to fall over the edge, they would attack that person without any hesitation. A fall into the lake was almost impossible to survive.{nl}This was one of the biggest reasons that made attacking the tower from the lake very difficult.{nl}If the boats were to sink, the demons didn't have anywhere to swim to.{nl}Although they were strong enough to swim to the edges of these stones, those were the most dangerous places.	
QUEST_20171128_007048	The parts of the lake that didn't have any magical levitation stones over them were much safer.{nl}Of course, this would only be true until the demons become exhausted from swimming and sunk below.{nl}However, the villagers under protection of Schaffenstar were mostly safe in these areas. You see, the plants that were fed to them weren't intended to be food, but rather, highly addictive substances.{nl}This was one of Lydia's defensive strategies.	
QUEST_20171128_007049	Because of their addiction, most of the aggressive and carnivorous creatures stayed around these edges, and other fish could safely breed and grow their numbers. This hugely benefited the fishermen of the village.{nl}Although carnivorous creatures would sometimes return to the lake's center to find their prey, they would immediately return to the edges for more plants afterward.{nl}The fishermen ran into these creatures occasionally, but they always carried some dried water plants to toss in the water.	
QUEST_20171128_007050	However, tossing these plants in the wrong places could lead to fatal accidents, so the Schaffenstar members warned the fishermen to do this only when necessary.{nl}In the end, since most of these plants were tossed near the edges, the most dangerous creatures just stayed there rather than chasing the fishermen.	
QUEST_20171128_007051	All of these factors guaranteed that the walkable surfaces were kept clean.{nl}These clean surfaces were soon tainted by Solcomm and his minions during their march toward the Astral Tower.	
QUEST_20171128_007052	They brought vast amounts of soil to pour over the stones, which made it safe for the demons to march.{nl}It is a textbook tactic to fill moats that surround castles, but in this case, the whole lake functioned as one giant moat. A siege that involved filling a whole lake like this was unprecedented.{nl}Thankfully for the demons, the water was shallow enough where they were, but they still had a long way to go.{nl}Also, they had to cover a wide surface to avoid incoming arrows from the tower.	
QUEST_20171128_007053	Despite their fierce march, a whole day has passed without a single battle.{nl}This was peculiar, but expected at the same time. The demons were busy filling the lake to make paths, and they kept out of Astral Tower's catapult's reach.{nl}Even Lydia Schaffen was limited by her weapons' range.	
QUEST_20171128_007054	Because the area above the magical levitation stones were actually safe from the Astral Tower's defensive weapons,{nl}all Schaffenstar had to do was place guards on the tower and observe their slow progress. The typical process of pouring arrows upon attackers' siege attempts wasn't going to happen for a while.	
QUEST_20171128_007055	On the second day, it finally happened.{nl}Solcomm's army finally reached the tower's attack range.{nl}Right after this, Schaffenstar members fired all sorts of projectiles above demons' heads, which reached much further than what humans' weapons are normally capable of. While the projectiles were flying over them, the demons had no choice but to keep filling the lake.	
QUEST_20171128_007056	Siege towers with roofs were brought to minimize the damage, but even such structures would fall to the continuous stream of projectiles.{nl}One positive outcome from all this was that the thrown rocks could be utilized to fill more parts of the lake.{nl}Because the Astral Tower was built on top of a lake, most traditional siege weapons were rendered useless.{nl}For example, digging tools for sieges couldn't be used, even if demons were capable of digging underwater.	
QUEST_20171128_007057	Solcomm was indeed aware of the fact that Lydia Schaffen would be fully prepared for him.{nl}If his enemy was the lake, he was even prepared to bring an army the size of an ocean to swallow that lake. He was under that much pressure from by his superiors.	
QUEST_20171128_007058	Unfortunately, for Solcomm, his army was progressing at an excruciatingly slow speed, and its number was becoming smaller by the minute.{nl}Most demons and monsters love to fight, and are used to desperate situations.{nl}However, this was something else. All they did was staring at their feet while being attacked. Unsurprisingly, complaints began pouring out.{nl}Dying in a proper battle was much more preferable, and they are much more controllable during battles.	
QUEST_20171128_007059	However, Solcomm's minions quickly grew tired doing nothing against the arrows and stones that were flying toward them.{nl}Even Pbeta's discontent toward Solcomm was growing.	
QUEST_20171128_007060	Despite all this, his army finally reached the tower's entrance.{nl}Flying demons, who were occupied in shooting down the projectiles, could finally focus on attacking the tower.{nl}Although some demons had to keep filling the lake, the rest could march straight over the small amount of water. Finally, after several days have passed, they would have their proper battle.	
QUEST_20171128_007061	 Of course, streams of boiling water, stones, arrows, fire, and magic started pouring over the demons' heads when they got close enough. Most of the flying demons were hit by arrows soon after the battle began, and they fell on parts of the lake that weren't filled.{nl}Although it seemed like Solcomm was fighting a losing battle, it was still a battle.	
QUEST_20171128_007062	Solcomm was ready to fight to his death, no matter the outcome. All of his demons were already on the lake, and Solcomm himself charged in front of his minions.{nl}Despite popular belief, there is no such thing as an impregnable castle.{nl}Even if all the siege attempts had failed, the defenders are bound to run out of resources without help from allies to attack the surrounding army. Sturdy weaponry and catapults are only there to buy enough time for that to happen. Whether you were on the attacking side, or the defending side, the side who is able to hold out wins.	
QUEST_20171128_007063	Knowing this, Solcomm kept encouraging his demons.{nl}But then, when he looked over his head, he saw Lydia Schaffen herself, aiming an arrow at his head.{nl}It almost looked as if she was waiting for Solcomm to see her aiming at him.	
QUEST_20171128_007064	At that moment, Solcomm immediately recognized the weapon she was holding. It was the bow that killed the Demon Lord Ziburynas.{nl}A single arrow would be enough to kill Solcomm.{nl}Solcomm was well aware that she would be able to hit him with her arrow if he charged in front.{nl}Despite this, he had to do this to silence the resentment from his minions and superiors.	
QUEST_20171128_007065	He could withstand the scolding from Gesti, but if she sent him back to Kartas, there would be no telling what he would do to Solcomm as punishment.{nl}Being tortured by Kartas was much worse than being killed by Lydia's arrows.	
QUEST_20171128_007066	However, her arrow never came. Instead, she withdrew her arrow and said this: [Fools! You are standing over stones that are controlled with magic.]{nl}Her words could be clearly heard by Solcomm who was still quite far away.{nl}However, he did not understand the meaning behind her words. He was about to find out.	
QUEST_20171128_007067	At that moment, the stones that Solcomm's army was standing on started trembling, and soon after, they started to sink below the lake.{nl}Even demons who generally remain calm in times of chaos started screaming.{nl}Water started pouring over the stones and burned every demon that was on them.{nl}Solcomm couldn't do anything but watch his minions burn and melt in water.{nl}It was then Solcomm finally realized that Lydia was waiting for his entire army to move on to the lake.{nl}The distance his army had to run would take days.{nl}Even his flying minions had to avoid rains of arrows to retreat.	
QUEST_20171128_007068	When only a handful of demons made it out, Pbeta arrived with additional demons from the demonic world.{nl}Because Solcomm was too shocked to do anything, Pbeta calmed the survivors in his stead.	
QUEST_20171128_007069	Based on the report made by Pbeta after this incident, these magical levitation stones cannot be raised or lowered easily.{nl}According to experts on magic, if the stones were moved like this once, it would take decades before being able to do so again.	
QUEST_20171128_007070	However, at the very moment, Solcomm and Pbeta didn't have the time to think it through. All the construction done over the stones were destroyed,{nl}and Schaffenstar members took back what could be used as defensive weapons, and threw out the rest.	
QUEST_20171128_007071	Some demons were sent to interrupt their operations, but it was too difficult to fight on the lake in the first place. Also, the guards on the tower quickly warned the cleaning crew whenever any demons got close. Half of Schaffenstar shot arrows to keep them at bay, and the other half would run to retreat, taking turns.{nl}The situation was against Solcomm from the beginning, but it didn't stop him from being shunned by demon society.{nl}Although the lower demons wouldn't dare insult him at his face, Solcomm was aware of their discontent.{nl}He couldn't, however, figure out how to regain their trust.	
QUEST_20171128_007072	Record of Solcomm's Attacks on the Astral Tower 7	
QUEST_20171128_007073	In the end, the demons failed in surrounding the tower and making humans inside to starve to death.{nl}Lydia Schaffen didn't even have to ask for help. After people found out that she was being attacked by the demons, countless men and women took up arms and went to the lake. Even the Royal Army was deployed due to public demand.	
QUEST_20171128_007074	Since Solcomm didn't want to fight to the death, he retreated his demons and minions, and went into hiding.{nl}After this incident, it became clear that large-scale sieges like this won't be viable unless the humans' unity was broken and their kingdom fell into chaos.{nl}This surely wasn't going to happen anytime soon, and Solcomm wasn't in a hurry.{nl}Although Pbeta kept trying, assembling demons for attacks was becoming more difficult with each passing day.	
QUEST_20171128_007075	Then, Solcomm decided to use humans' one weakness: their mortality.{nl}He decided to simply wait for Lydia Schaffen to grow old and die.{nl}Solcomm was looked down upon by his minions due to this so-called plan, but he was running out of options.{nl}However, he also worked behind the scenes to prevent anyone from becoming Lydia Schaffen's successor or joining Shaffenstar.	
QUEST_20171128_007076	Sadly, his schemes and tricks were all in vain.{nl}Schaffen's legacies and stories were heard all around the kingdom.{nl}The story of her being in disguise and punishing a tyrannical lord by hitting an apple on the head of a farmer's son,{nl}her forest adventures with Jon Himil (who was curiously considered small, despite his huge size) and their group of righteous outlaws during their days as members of Shaffenstar, the tale of her outsmarting Rumpelstiltskin in a bet, and the legend of her killing the demon king Ziburynas spread far and wide. After hearing of her exploits, countless people came to Shaffenstar to join them.	
QUEST_20171128_007077	However, with enough patience, the chance to infiltrate the tower could come. Even if it would take centuries.{nl}Solcomm had the necessary patience, and was aware of humans' nature of forgetting their initial stance over time.{nl}What he didn't know, was that his minions weren't as patient as him.	
QUEST_20171128_007078	A Silver Fish is needed to make a rubbing.{nl}Will you make a rubbing?	
QUEST_20171128_007079	Wow! You caught an even bigger fish than last time!	
QUEST_20171128_007080	Amazing! This is the biggest one I've seen this week!{nl}At this moment, this fish is in First Place.	
QUEST_20171128_007081	This one is big, but someone already caught something bigger.{nl}It's still quite impressive, though.	
QUEST_20171128_007082	This fish is smaller than what the others have brought.{nl}Better luck next time!	
QUEST_20171128_007083	You'll need a Silver Fish to make a rubbing.	
QUEST_20171128_007084	This fish is smaller than what you've brought before.{nl}Don't be too disappointed, though! You'll catch something bigger next time.	
QUEST_20171128_007085	The First Refuge	
QUEST_20171128_007086	The First Refuge (Recommended Lv.: 330){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	
QUEST_20171128_007087	Are you here to clear a dungeon?{nl}You can always bring your friends if things get too tough.	
QUEST_20171128_007088	Collecting Sporgimo Flower	
QUEST_20171128_007089	Obtained Sporgimo Flower	
QUEST_20171128_007090	Collecting Magic Crystal	
QUEST_20171128_007091	Acquired Magic Crystal	
QUEST_20171128_007092	Retrieving Flurry's Device Part	
QUEST_20171128_007093	Obtained Flurry's Device Part	
QUEST_20171207_007106	Campsite Manager	
QUEST_20171207_007107	It's getting dark.{nl}The mountain's too dangerous at night.	
QUEST_20171207_007108	The Xmas Search Mission event has begun.	
QUEST_20171207_007109	The Here Comes... Santa? event has begun.	
QUEST_20171207_007110	It's either too soon or you haven't delivered the last Present yet.	
QUEST_20171207_007111	This event is for characters of level 50 and above.	
QUEST_20171207_007112	Please receive a Present first.	
QUEST_20171207_007113	Total count rewards{nl}10 Presents delivered: Silver Anvil (14 Days) x2{nl}20 Presents delivered: Golden Anvil (14 Days) x2	
QUEST_20171207_007114	Good Kid	
QUEST_20171207_007115	Hello!!{nl}Who are you? Oh, are you Santa??{nl}Yaaaay!!	
QUEST_20171207_007116	I was so good this year! I wonder when Santa's gonna come...	
QUEST_20171207_007117	Thank you!! I'll be good next year, too!	
QUEST_20171211_007130	Your Team Level is 2 or above, or you are participating in the Skilled Savior Event.	
QUEST_20171211_007131	Use your Homecoming Gift first to prove that you are a Returning Savior.	
QUEST_20171211_007132	Your Team Level is 1 or you are participating in the Rookie Savior Event.	
QUEST_20171211_007133	Move to a city of your choice and increase movement speed for 20 seconds.	
QUEST_20180108_007140	Select one item to receive.	
QUEST_20180108_007141	Your team level is too low.	
QUEST_20180108_007142	Event item received.	
QUEST_20180108_007143	This prize can only be received on Saturdays and Sundays (server time).	
QUEST_20180122_007144	Then I heard there was a Tetriox roaming around Fedimian, so I came thinking I could get rid of it and teach the soldiers some of my techniques, maybe look for an assistant here.	
QUEST_20180122_007145	I need some tools to teach the soldiers with so I ordered some things from a few merchants, but the orders are taking a while.	
QUEST_20180122_007146	Finally, Rima in Klaipeda is making the cape we need to lure the beast.	
QUEST_20180122_007147	Not only that, for the kind that she wants I need actual Blue Hohen Gulak horns from Kadumel Cliff.	
QUEST_20180122_007148	In pristine condition, too.	
QUEST_20180122_007149	It's almost impossible to find a whole Blue Hohen Gulak horn these days.{nl}I don't know I'm supposed to finish this.	
QUEST_20180122_007150	So you're here to check on the weapons I'm making for the Matador Master.{nl}Well... to make the weapons I need an ore that only exists in Nevellet Quarry.{nl}But going there is way more dangerous than I would like.	
QUEST_20180122_007151	Bring me 10 pieces of Cockatrice Leather in good condition. The monsters are usually around the Fedimian Suburbs.	
QUEST_20180122_007152	From Veja Ravine, get me 12 sturdy Beetow Feelers.	
QUEST_20180122_007153	I also need 15 pieces of strong Minivern Skin, which you can get from the Miniverns in the Mage Tower 4F.	
QUEST_20180122_007154	Just be careful. You're dealing with monsters, after all.	
QUEST_20180122_007155	I was just starting to get settled when the Master came and asked me to sew the capes for her.{nl}At first I didn't want to take the order, because I have no way of getting the silk cocoon I need to make the capes.	
QUEST_20180122_007156	To get the cocoon I would need to go all the way to the Emmet Forest, but these days it's just too dangerous to go outside.	
QUEST_20180122_007157	So I was wondering what to do about this monster.{nl}I noticed a few other monsters with this golden dust falling off of them: some Red Spions and Firents in Salvia Forest and Nefritas Cliff.	
QUEST_20180122_007158	{nl}My suspicious colleague gave all my bullet recipes to Manager Rota, so she's the one who has them now.	
QUEST_20180122_007159	You'll have to get the recipes from Manager Rota and make them yourself.	
QUEST_20180122_007160	You'll need a material called Demon Magic Dust for all the bullets.{nl}There are 5 magic aggregators installed at the Shaton Reservoir giving out a reddish light.	
QUEST_20180122_007161	Get rid of some monsters around it and get their flesh.	
QUEST_20180122_007162	When the magic aggregator's light is on, add in the flesh and it will come out as Demon Magic Dust.	
QUEST_20180122_007163	For the Frost bullets you'll need Pure Frost Fragments, which you can get from Ice property monsters.{nl}They usually live in Vedas Plateau, so head there.	
QUEST_20180122_007164	For the Lightning Bullets you need Electric Stones.{nl}They're impossible to spot with the naked eye, though.	
QUEST_20180122_007165	I made you a lantern you can use to find the Electric Stones.{nl}Turn on the lantern and walk around until you see the Electric Stones shine.	
QUEST_20180122_007166	Once you made all the bullets, shoot the Frost Bullets at the Red Spions in Salvia Forest and the Fire Bullets at the Firents in Nefritas Cliff.	
QUEST_20180122_007167	As for the Lightning Bullets, they're for the Blue Lepusbunny monsters in Sekta Forest.	
QUEST_20180122_007168	They have a strange glow going on under their feet, so you'll know when you see them.	
QUEST_20180122_007169	I'm writing it all down in case you forget.{nl}Just make sure to get the bullet recipes from Manager Rota.	
QUEST_20180122_007170	Remember the lantern I gave you?{nl}Turn it on and the Electric Stones will shine when you're near.	
QUEST_20180122_007171	This device can no longer produce Demon Magic Dust.	
